genotype,plate,gompertz_mu_max,gompertz_doubling_time,gompertz_carrying_capacity,gompertz_lag_time,gompertz_r2
b2632,Plate 79 Trial 2,-5.90E-12,-1.18E+11,-8.92E-33,0.999999987,0
b2647,Plate 79 Trial 2,0.701456373,0.98815437,1.916151136,0.379548363,0.996612513
b2650,Plate 79 Trial 2,0.746279242,0.928804047,1.790283072,0.388226058,0.993669266
b2657,Plate 79 Trial 2,0.72128231,0.960992902,1.956718657,0.370881693,0.997064301
b2659,Plate 79 Trial 2,0.525434029,1.319189742,1.74852978,0.455368811,0.996149254
b2681,Plate 79 Trial 2,0.689156228,1.00579107,1.695226999,0.440590407,0.994141144
b2708,Plate 79 Trial 2,0.703271564,0.985603878,1.752419864,0.536506701,0.994874728
b2741,Plate 79 Trial 2,0.563632886,1.229784845,1.894027883,0.409865907,0.997360109
b2754,Plate 79 Trial 2,0.513856565,1.348911795,1.89968061,0.635974363,0.994682609
b2769,Plate 79 Trial 2,0.760538056,0.911390528,1.990106991,0.633735774,0.996828295
b2776,Plate 79 Trial 2,0.772257555,0.897559598,1.912722703,0.639315985,0.995794895
b2778,Plate 79 Trial 2,0.59142162,1.172001761,1.768710745,0.38233374,0.993367809
b2824,Plate 79 Trial 2,0.588535407,1.177749329,1.841317956,0.462763583,0.997131585
b2825,Plate 79 Trial 2,0.689782681,1.004877623,1.931571918,0.674865189,0.996913463
b2846,Plate 79 Trial 2,0.65595585,1.056697917,1.645867026,0.269952845,0.993340014
b2848,Plate 79 Trial 2,0.668786139,1.036425757,1.889038419,0.505186636,0.997997064
b2853,Plate 79 Trial 2,0.719736148,0.963057341,2.013782959,0.731076564,0.997710657
b2854,Plate 79 Trial 2,0.718537701,0.964663621,1.947698953,0.562224595,0.996538515
b2855,Plate 79 Trial 2,0.753643823,0.919727807,2.047728487,0.57665151,0.996870288
b2858,Plate 79 Trial 2,0.734746106,0.943383265,1.973768839,0.771310866,0.997130757
b2863,Plate 79 Trial 2,0.674049617,1.028332579,1.925687078,0.66406498,0.996532436
b2914,Plate 79 Trial 2,0.717360644,0.966246457,1.874164029,0.517866492,0.996406635
b2921,Plate 79 Trial 2,0.617152563,1.12313749,1.700555966,0.226616916,0.993521286
b2963,Plate 79 Trial 2,0.750684397,0.923353653,1.910277635,0.532639826,0.996234297
b3035,Plate 79 Trial 2,0.647314643,1.070804111,1.916746405,0.50425554,0.993715576
b3153,Plate 79 Trial 2,0.667733576,1.038059499,1.786555692,0.622380114,0.988120018
b3162,Plate 79 Trial 2,0.763499079,0.907855948,2.107467458,0.697165475,0.997868344
b3848,Plate 79 Trial 2,0.765238463,0.905792396,1.963082664,0.703424187,0.995632735
b3325,Plate 79 Trial 2,0.661684172,1.047549888,1.647684446,0.30899111,0.992659835
b4305,Plate 79 Trial 2,0.624942981,1.109136676,2.016550328,0.614458231,0.998029412
b4390,Plate 79 Trial 2,0.697088839,0.994345544,1.909113056,0.390354116,0.996008576
b2770,Plate 79 Trial 2,0.670147576,1.034320209,1.876720502,0.589394985,0.996983729
b2489,Plate 79 Trial 2,0.751493463,0.922359561,2.150630509,0.899617628,0.997553058
b0792,Plate 79 Trial 2,0.702764634,0.98631483,1.925305668,0.488697896,0.995551014
b1023,Plate 79 Trial 2,0.735310654,0.942658966,1.926304389,0.787192789,0.996179713
b4463,Plate 79 Trial 2,0.488194545,1.419817545,1.663684762,0.201251368,0.994735691
b3046,Plate 79 Trial 2,0.558121159,1.241929586,1.944567096,0.78583142,0.996999962
b4472,Plate 79 Trial 2,0.519041269,1.335437511,1.693600968,0.20612461,0.995509478
b3593,Plate 79 Trial 2,0.640382212,1.082396056,1.882043751,0.636405385,0.995144147
b0703,Plate 79 Trial 2,0.720251695,0.962367996,2.061702919,0.61118703,0.996950364
b0700,Plate 79 Trial 2,0.680272399,1.018925921,1.923276629,0.583875736,0.99571874
b3482,Plate 79 Trial 2,0.755831278,0.917066018,1.996483429,0.782483774,0.996650833
b1456,Plate 79 Trial 2,0.583081431,1.188765657,1.676103156,0.284342356,0.993943332
b0706,Plate 79 Trial 2,0.464680071,1.491665392,1.870500461,0.483275714,0.995965833
b1460,Plate 79 Trial 2,0.583073629,1.188781563,1.931695514,0.536326754,0.995267637
b3484,Plate 79 Trial 2,0.589232289,1.176356411,1.767404083,0.451763892,0.995241942
b0198,Plate 79 Trial 2,0.667854286,1.037871875,2.01457467,0.667870917,0.992619333
b0331,Plate 79 Trial 2,0.636606179,1.088816294,1.778194302,0.585946273,0.989094349
b1741,Plate 79 Trial 2,0.672767762,1.030291907,1.839239911,0.410937205,0.992689481
b1791,Plate 79 Trial 2,0.655133054,1.058025047,1.910364992,0.382381682,0.997076667
b0969,Plate 79 Trial 2,0.705762596,0.982125128,1.714610759,0.392382711,0.994544585
b1289,Plate 79 Trial 2,0.672180711,1.031191716,1.912894849,0.761537903,0.996581394
b1833,Plate 79 Trial 2,0.600115017,1.155023889,1.876653349,0.290293509,0.997090223
b2544,Plate 79 Trial 2,0.620335834,1.117374078,1.937239565,0.632904309,0.998331247
b0056,Plate 79 Trial 2,0.721262545,0.961019237,2.123975019,0.779439236,0.996317603
b0291,Plate 79 Trial 2,0.557539372,1.243225528,1.925765953,0.558881489,0.994073042
b0354,Plate 79 Trial 2,0.558221369,1.241706641,1.783725719,0.323225879,0.991501708
b0836,Plate 79 Trial 2,0.755217342,0.917811526,2.033118673,0.62352586,0.996213628
b2759,Plate 79 Trial 2,0.596587614,1.16185312,1.737916527,0.289347533,0.994779194
b0278,Plate 79 Trial 2,0.650309855,1.065872177,1.895605875,0.560484274,0.996077436
b0763,Plate 79 Trial 2,0.666040902,1.040697618,1.812552663,0.445463525,0.99417466
b3418,Plate 79 Trial 2,0.621063803,1.116064367,2.03529465,0.73195542,0.995853538
b3423,Plate 79 Trial 2,0.682698607,1.015304812,1.933107355,0.784234496,0.993722916
b1659,Plate 79 Trial 2,0.660289803,1.049762055,1.836220826,0.483611756,0.995016268
b3421,Plate 79 Trial 2,0.737106704,0.940362063,1.918018009,0.552689376,0.993359669
b3674,Plate 79 Trial 2,0.705977055,0.981826783,1.925274672,0.552364581,0.995840367
b0028,Plate 79 Trial 2,0.605585778,1.144589596,1.834914356,0.300856444,0.996828295
b2907,Plate 79 Trial 2,0.68471896,1.012309021,1.937509709,0.449253077,0.996843194
b2787,Plate 79 Trial 2,0.615977955,1.1252792,1.800049919,0.270410334,0.993319569
b4095,Plate 79 Trial 2,0.703314731,0.985543384,2.022902481,0.650440921,0.995539411
b3549,Plate 79 Trial 2,0.485809387,1.426788364,1.798186044,0.405429533,0.99421421
b3559,Plate 79 Trial 2,0.646423156,1.072280865,1.834925939,0.380169519,0.996735155
b1580,Plate 79 Trial 2,0.707550948,0.979642784,2.054158723,0.665002208,0.997131214
b2521,Plate 79 Trial 2,0.712210653,0.97323338,1.841356451,0.495725483,0.994670638
b1469,Plate 79 Trial 2,0.625471016,1.108200321,1.807217229,0.396698846,0.997423916
b3383,Plate 79 Trial 2,0.722554461,0.959300949,1.858648818,0.478219708,0.996487738
b0001,Plate 79 Trial 2,0.692779538,1.000530677,1.905881762,0.396063212,0.992591548
b4509,Plate 79 Trial 2,0.61129308,1.133903202,1.971483643,0.509107789,0.997422654
b2565,Plate 79 Trial 2,0.676249514,1.024987326,1.821146316,0.489300276,0.996120128
b2580,Plate 79 Trial 2,0.70346504,0.985332804,2.004990238,0.506662541,0.99679498
b2616,Plate 79 Trial 2,0.691545299,1.00231638,1.730400676,0.38612671,0.993616379
b2733,Plate 79 Trial 2,0.620505689,1.117068212,1.839073581,0.467982662,0.995528221
b2831,Plate 79 Trial 2,0.77011344,0.900058543,1.904366731,0.3921638,0.995624868
b4033,Plate 57 Trial 2,0.696701271,0.994898688,1.811329387,0.315371738,0.995828372
b4034,Plate 57 Trial 2,0.000645401,1073.97831,0.00058028,1.001251882,0.007016521
b4035,Plate 57 Trial 2,0.639594308,1.083729439,1.834049252,0.400094165,0.995867849
b4086,Plate 57 Trial 2,0.678415671,1.021714577,1.630304603,0.402472194,0.988345623
b4088,Plate 57 Trial 2,1.84E-12,3.76E+11,1.37E-12,0.999543613,0
b4111,Plate 57 Trial 2,0.726462902,0.954139817,1.870312863,0.43724513,0.996870631
b4120,Plate 57 Trial 2,0.571144071,1.213611794,1.610343682,0.244257651,0.996689777
b4123,Plate 57 Trial 2,0.737055335,0.940427602,1.787587874,0.260780907,0.995263329
b4132,Plate 57 Trial 2,0.768616756,0.901811175,1.771359184,0.267449365,0.995584749
