CommonName,bID,GenBankID,OMV.Trial1,OMV.Trial2,OMV.Trial3,OMV.Trial4,OMV.Trial5,average.log.OMV,antilog.OMV.Trial1,antilog.OMV.Trial2,antilog.OMV.Trial3,antilog.OMV.Trial4,antilog.OMV.Trial5,average.antilog.omv,stdev.antilog
thrL,b0001,944742,0.498112373,-0.012471482,NA,NA,NA,0.242820446,3.148562894,0.971691756,,,,2.060127325,1.539280344
thrA,b0002,945803,0.219359949,-0.036009184,NA,NA,NA,0.091675383,1.657142856,0.920430107,,,,1.288786482,0.520934581
thrB,b0003,947498,0.004608227,-0.166450008,NA,NA,NA,-0.080920891,1.010667329,0.681632033,,,,0.846149681,0.232663089
thrC,b0004,945198,-0.137940937,0.161127374,NA,NA,NA,0.011593219,0.727878788,1.449196825,,,,1.088537806,0.510048876
yaaX,b0005,944747,0.208918866,-0.165308221,NA,NA,NA,0.021805323,1.617777779,0.683426444,,,,1.150602112,0.660686165
yaaA,b0006,944749,0.148554578,-0.08229968,NA,NA,NA,0.033127449,1.407844142,0.827371049,,,,1.117607595,0.41045646
yaaJ,b0007,944745,0.229166492,0.332452546,NA,NA,NA,0.280809519,1.69498747,2.150069735,,,,1.922528602,0.321791756
talB,b0008,944748,-0.060537564,-0.076645497,NA,NA,NA,-0.068591531,0.86988619,0.838213214,,,,0.854049702,0.022396176
mog,b0009,944760,-0.465100684,-0.193739964,NA,NA,NA,-0.329420324,0.342688331,0.640117995,,,,0.491403163,0.210314532
yaaH,b0010,944792,-0.393784049,0.023912157,-0.142667504,-0.13683796,NA,-0.162344339,0.403846154,1.056603773,0.719999999,0.72972973,,0.727544914,0.26653475
yaaW,b0011,944771,0.106402083,-0.265323952,NA,NA,NA,-0.079460935,1.277621122,0.542845257,,,,0.91023319,0.519564996
htgA,b0012,948295,-0.016351023,-0.229790911,NA,NA,NA,-0.123070967,0.963050314,0.58912722,,,,0.776088767,0.264403555
yaaI,b0013,944751,-0.114136415,-0.347957243,NA,NA,NA,-0.231046829,0.768888889,0.448789572,,,,0.60883923,0.226344398
dnaK,b0014,944750,-1.111425696,-0.483536356,NA,NA,NA,-0.797481026,0.077370304,0.328445748,,,,0.202908026,0.177537149
dnaJ,b0015,944753,-0.535641991,-0.501717356,NA,NA,NA,-0.518679674,0.291311755,0.314979757,,,,0.303145756,0.016735805
nhaA,b0019,944758,-0.038869782,-0.209018691,NA,NA,NA,-0.123944237,0.914387368,0.617989803,,,,0.766188586,0.209584729
nhaR,b0020,944757,0.131139496,0.202138811,NA,NA,NA,0.166639154,1.352506921,1.592717717,,,,1.472612319,0.169854683
rpsT,b0023,944759,0.294002276,0.255485257,NA,NA,NA,0.274743767,1.967896603,1.800881999,,,,1.884389301,0.118097159
yaaY,b0024,949128,-0.245443867,-0.123258903,NA,NA,NA,-0.184351385,0.568271837,0.752906588,,,,0.660589212,0.130556484
fkpB,b0028,944807,0.108080442,-0.090950392,NA,NA,NA,0.008565025,1.282568124,0.811053697,,,,1.04681091,0.333411049
rihC,b0030,944796,0.009669197,0.05039737,NA,NA,NA,0.030033284,1.022513845,1.123045547,,,,1.072779696,0.071086648
carA,b0032,949025,-0.505149978,-0.055134183,NA,NA,NA,-0.280142081,0.3125,0.880776699,,,,0.59663835,0.401832308
carB,b0033,944775,0.039171956,-0.34283621,NA,NA,NA,-0.151832127,1.094389597,0.454112849,,,,0.774251223,0.45274403
caiF,b0034,944795,0.181308021,-0.14134166,NA,NA,NA,0.019983181,1.518126709,0.722201423,,,,1.120164066,0.562804167
